Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-03-31; 	 12:21:39; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	36;
2020-03-31; 	 12:22:59; 	R dispensed; 	0;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	36;
2020-03-31; 	 12:22:59; 	g dispensed; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	36;
2020-03-31; 	 12:22:59; 	Start quantity; 	-47;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	36;
2020-03-31; 	 12:22:59; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	36;
Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-03-31; 	 13:12:07; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	37;
2020-03-31; 	 13:12:12; 	R dispensed; 	16.89;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	37;
2020-03-31; 	 13:12:12; 	g dispensed; 	507.0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	37;
2020-03-31; 	 13:12:12; 	Start quantity; 	-57;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	37;
2020-03-31; 	 13:12:12; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	37;
2020-03-31; 	 13:12:34; 	START; 	-; 	-; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	38;
2020-03-31; 	 13:12:37; 	R dispensed; 	0;	 R; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	38;
2020-03-31; 	 13:12:37; 	g dispensed; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	38;
2020-03-31; 	 13:12:37; 	Start quantity; 	-71;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	38;
2020-03-31; 	 13:12:37; 	Current quantity; 	0;	 g; 	cpt1nut1d6;	Nude Foods;	Cape Town;	Nuts;	38;
Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
