Date; 	Time; 	Message; 	Quantity; 	Unit; 	UID; 	Store; 	Location; 	Product; 	Transaction;
2020-05-23; 	 12:13:19; 	R dispensed; 	152.12;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	225;
2020-05-23; 	 12:13:19; 	g dispensed; 	597;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	225;
2020-05-23; 	 12:14:13; 	R dispensed; 	202.10;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	226;
2020-05-23; 	 12:14:13; 	g dispensed; 	793;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	226;
2020-05-23; 	 12:14:52; 	R dispensed; 	138.91;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	227;
2020-05-23; 	 12:14:52; 	g dispensed; 	545;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	227;
2020-05-23; 	 12:16:51; 	R dispensed; 	194.41;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	228;
2020-05-23; 	 12:16:51; 	g dispensed; 	762;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	228;
2020-05-23; 	 12:17:35; 	R dispensed; 	191.94;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	229;
2020-05-23; 	 12:17:35; 	g dispensed; 	753;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	229;
2020-05-23; 	 12:17:56; 	R dispensed; 	72.10;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	230;
2020-05-23; 	 12:17:56; 	g dispensed; 	283;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	230;
2020-05-23; 	 12:18:22; 	R dispensed; 	110.35;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	231;
2020-05-23; 	 12:18:22; 	g dispensed; 	433;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	231;
2020-05-23; 	 12:21:13; 	R dispensed; 	38.51;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	232;
2020-05-23; 	 12:21:13; 	g dispensed; 	151;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	232;
2020-05-23; 	 12:23:03; 	R dispensed; 	3.71;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	233;
2020-05-23; 	 12:23:03; 	g dispensed; 	15;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	233;
2020-05-23; 	 12:23:59; 	R dispensed; 	0;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	234;
2020-05-23; 	 12:23:59; 	g dispensed; 	0;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	234;
2020-05-23; 	 12:24:16; 	R dispensed; 	0;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	235;
2020-05-23; 	 12:24:16; 	g dispensed; 	0;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	235;
2020-05-23; 	 12:24:49; 	R dispensed; 	65.90;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	236;
2020-05-23; 	 12:24:49; 	g dispensed; 	258;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	236;
2020-05-23; 	 12:27:50; 	R dispensed; 	109.12;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	237;
2020-05-23; 	 12:27:50; 	g dispensed; 	428;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	237;
2020-05-23; 	 12:28:15; 	R dispensed; 	149.24;	 R; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	238;
2020-05-23; 	 12:28:15; 	g dispensed; 	585;	 g; 	cpt1nut1d1;	Nude Foods;	Cape Town;	Almonds-Raw;	238;
